year,dayAndNight,week,death,casualty,injuredPerson,location,accKind,violationLaw,roadKind,perpetrator,victim,count
2012,Night,Wed,1,1,0,Gyeongsangnam,Car and Car,Violation of drivers laws,singleroad,a car,a freight car,1
2012,Day,Fri,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a freight car,special car,1
2012,Night,Fri,1,2,1,Gyeongbuk,Car and Car,Violation of drivers laws,singleroad,a car,a car,1
2012,Day,Thu,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a freight car,a car,1
2012,Night,Mon,1,1,0,Jeonnam,Car and Car,Violation of drivers laws,Other/Unknown,a freight car,a freight car,1
2012,Day,Sun,1,5,4,Jeonnam,Only Car,Violation of drivers laws,singleroad,a van,none,1
2012,Night,Thu,1,2,1,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a car,construction machinery,1
2012,Day,Mon,1,1,0,Chungcheongnam,Only Car,Violation of drivers laws,singleroad,a car,none,1
2012,Night,Mon,1,5,4,Gyeongsangnam,Car and Car,Violation of drivers laws,singleroad,a car,a car,1
2012,Day,Thu,1,1,0,Jeonbuk,Only Car,Violation of drivers laws,singleroad,special car,none,1
2012,Day,Thu,1,5,4,Daegu,Car and Car,Violation of drivers laws,singleroad,a freight car,a freight car,1
2012,Night,Sun,1,1,0,Daegu,Car and Car,Violation of drivers laws,singleroad,a car,special car,1
2012,Day,Mon,2,2,0,Jeonbuk,Car and Car,Violation of drivers laws,singleroad,a freight car,a freight car,1
2012,Night,Tue,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a car,special car,1
2012,Night,Fri,1,2,1,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a freight car,a freight car,1
2012,Day,Sun,1,1,0,Gyeongsangnam,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2012,Night,Tue,1,1,0,Gyeongsangnam,Only Car,Violation of drivers laws,singleroad,a freight car,none,1
2012,Night,Sat,1,1,0,Gyeongbuk,Car and Car,Violation of drivers laws,singleroad,a car,special car,1
2012,Night,Thu,1,3,2,Gyeongbuk,Car and Car,Violation of drivers laws,singleroad,a freight car,a freight car,1
2012,Night,Sun,1,6,5,Jeonbuk,Car and Car,Violation of drivers laws,singleroad,a car,a car,1
2012,Night,Sun,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2012,Night,Sun,1,2,1,Chungcheongnam,Only Car,Violation of drivers laws,singleroad,a car,none,1
2012,Night,Sun,1,1,0,Gwangju,Car and People,Violation of drivers laws,Other/Unknown,a car,Pedestrian,1
2012,Day,Wed,1,1,0,Gyeongsangnam,Car and Car,Violation of drivers laws,singleroad,bicycle,a freight car,1
2012,Night,Wed,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2012,Day,Mon,1,1,0,Gangwon,Car and People,Violation of drivers laws,crossroad,construction machinery,Pedestrian,1
2012,Night,Fri,1,1,0,Daejeon,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2012,Day,Thu,1,1,0,Chungcheongnam,Only Car,Violation of drivers laws,Other/Unknown,a freight car,none,1
2012,Night,Thu,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2012,Night,Fri,1,1,0,Incheon,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2012,Day,Tue,1,1,0,Seoul,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2012,Night,Thu,1,1,0,Jeonnam,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2012,Night,Fri,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a freight car,a freight car,1
2012,Day,Tue,1,1,0,Incheon,Car and Car,Violation of drivers laws,singleroad,a freight car,motor bicycle,1
2012,Day,Wed,1,1,0,Incheon,Car and Car,Violation of drivers laws,crossroad,a car,a two-wheeled car,1
2012,Day,Mon,1,1,0,Gyeonggi,Only Car,Violation of drivers laws,singleroad,a car,none,1
2012,Night,Fri,1,5,4,Gyeongsangnam,Car and Car,Violation of drivers laws,singleroad,a freight car,a car,1
2012,Night,Wed,1,1,0,Gyeongsangnam,Car and Car,Violation of drivers laws,singleroad,a car,a freight car,1
