year,dayAndNight,week,death,casualty,injuredPerson,location,accKind,violationLaw,roadKind,perpetrator,victim,Count
2018,Day,Wed,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Sun,1,1,0,Seoul,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Night,Sat,1,1,0,Seoul,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Day,Thu,1,1,0,Seoul,Only Car,Violation of drivers laws,singleroad,a van,none,1
2018,Night,Mon,1,1,0,Seoul,Car and People,Violation of drivers laws,crossroad,a freight car,Pedestrian,1
2018,Night,Sun,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Mon,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2018,Night,Fri,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Tue,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Sun,1,1,0,Seoul,Car and People,Violation of drivers laws,crossroad,a van,Pedestrian,1
2018,Night,Thu,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Sun,1,1,0,Seoul,Car and Car,Violation of drivers laws,crossroad,자전거,자전거,1
2018,Day,Thu,1,1,0,Seoul,Car and People,Violation of drivers laws,Other,a freight car,Pedestrian,1
2018,Day,Tue,1,1,0,Seoul,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Night,Sat,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,자전거,Pedestrian,1
2018,Day,Thu,1,1,0,Seoul,Car and People,Violation of drivers laws,crossroad,a freight car,Pedestrian,1
2018,Day,Sat,1,4,3,Seoul,Car and Car,Violation of drivers laws,singleroad,a car,special car,1
2018,Night,Thu,1,1,0,Seoul,Car and Car,Violation of drivers laws,singleroad,a car,construction machinery,1
2018,Night,Tue,1,1,0,Seoul,Car and People,Violation of drivers laws,crossroad,a van,Pedestrian,1
2018,Day,Fri,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Sun,1,4,3,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Wed,1,1,0,Seoul,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Night,Tue,1,1,0,Seoul,Car and People,Violation of drivers laws,crossroad,a van,Pedestrian,1
2018,Night,Thu,1,4,3,Seoul,Car and Car,Violation of drivers laws,singleroad,a freight car,a freight car,1
2018,Night,Thu,1,1,0,Seoul,Car and Car,Violation of drivers laws,crossroad,a car,a two-wheeled car,1
2018,Night,Tue,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a van,Pedestrian,1
2018,Day,Mon,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2018,Night,Mon,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a van,Pedestrian,1
2018,Night,Thu,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a van,Pedestrian,1
2018,Day,Mon,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Fri,1,1,0,Busan,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Wed,1,1,0,Busan,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
