city,name,count
강원,강릉시,154
강원,고성군,50
강원,동해시,61
강원,삼척시,67
강원,속초시,50
강원,양구군,33
강원,양양군,59
강원,영월군,65
강원,원주시,232
강원,인제군,60
강원,정선군,48
강원,철원군,63
강원,춘천시,189
강원,태백시,43
강원,평창군,85
강원,홍천군,100
강원,화천군,24
강원,횡성군,95
경기,가평군,102
경기,고양시,344
경기,과천시,19
경기,광명시,79
경기,광주시,182
경기,구리시,53
경기,군포시,69
경기,김포시,186
경기,남양주시,283
경기,동두천시,70
경기,부천시,209
경기,성남시,276
경기,수원시,334
경기,시흥시,236
경기,안산시,299
경기,안성시,195
경기,안양시,173
경기,양주시,149
경기,양평군,127
경기,여주시,128
경기,연천군,57
경기,오산시,70
경기,용인시,352
경기,의왕시,45
경기,의정부시,140
경기,이천시,195
경기,파주시,224
경기,평택시,397
경기,포천시,200
경기,하남시,80
경기,화성시,409
경남,거제시,138
경남,거창군,88
경남,고성군,113
경남,김해시,293
경남,남해군,59
경남,밀양시,142
경남,사천시,110
경남,산청군,56
경남,양산시,165
경남,의령군,63
경남,진주시,252
경남,창녕군,129
경남,창원시(통합),519
경남,통영시,104
경남,하동군,82
경남,함안군,135
경남,함양군,73
경남,합천군,90
경북,경산시,228
경북,경주시,409
경북,고령군,79
경북,구미시,283
경북,군위군,79
경북,김천시,173
경북,문경시,103
경북,봉화군,47
경북,상주시,205
경북,성주군,101
경북,안동시,192
경북,영덕군,82
경북,영양군,24
경북,영주시,92
경북,영천시,166
경북,예천군,80
경북,울릉군,7
경북,울진군,72
경북,의성군,107
경북,청도군,94
경북,청송군,61
경북,칠곡군,163
경북,포항시,312
광주,광산구,194
광주,남구,93
광주,동구,48
광주,북구,195
광주,서구,139
대구,남구,52
대구,달서구,182
대구,달성군,172
대구,동구,165
대구,북구,191
대구,서구,107
대구,수성구,174
대구,중구,56
대전,대덕구,116
대전,동구,153
대전,서구,158
대전,유성구,136
대전,중구,104
부산,강서구,146
부산,금정구,75
부산,기장군,79
부산,남구,70
부산,동구,38
부산,동래구,62
부산,부산진구,54
부산,북구,74
부산,사상구,120
부산,사하구,96
부산,서구,38
부산,수영구,47
부산,연제구,48
부산,영도구,47
부산,중구,30
부산,진구,66
부산,해운대구,90
서울,강남구,141
서울,강동구,113
서울,강북구,82
서울,강서구,127
서울,관악구,109
서울,광진구,84
서울,구로구,109
서울,금천구,78
서울,노원구,94
서울,도봉구,72
서울,동대문구,130
서울,동작구,88
서울,마포구,113
서울,서대문구,81
서울,서초구,124
서울,성동구,67
서울,성북구,95
서울,송파구,133
서울,양천구,89
서울,영등포구,175
서울,용산구,85
서울,은평구,92
서울,종로구,72
서울,중구,65
서울,중랑구,71
세종,세종,128
울산,남구,149
울산,동구,62
울산,북구,99
울산,울주군,207
울산,중구,96
인천,강화군,75
인천,계양구,80
인천,남구,136
인천,남동구,159
인천,동구,26
인천,부평구,102
인천,서구,165
인천,연수구,104
인천,옹진군,25
인천,중구,82
전남,강진군,78
전남,고흥군,121
전남,곡성군,47
전남,광양시,142
전남,구례군,47
전남,나주시,199
전남,담양군,104
전남,목포시,141
전남,무안군,122
전남,보성군,119
전남,순천시,232
전남,신안군,73
전남,여수시,287
전남,영광군,108
전남,영암군,171
전남,완도군,65
전남,장성군,78
전남,장흥군,70
전남,진도군,68
전남,함평군,70
전남,해남군,155
전남,화순군,90
전북,고창군,117
전북,군산시,246
전북,김제시,168
전북,남원시,147
전북,무주군,55
전북,부안군,110
전북,순창군,77
전북,완주군,184
전북,익산시,277
전북,임실군,53
전북,장수군,37
전북,전주시,366
전북,정읍시,161
전북,진안군,50
제주,서귀포시,235
제주,제주시,352
충남,계룡시,12
충남,공주시,161
충남,금산군,87
충남,논산시,213
충남,당진시,263
충남,보령시,151
충남,부여군,138
충남,서산시,201
충남,서천군,103
충남,아산시,285
충남,연기군,6
충남,예산군,152
충남,천안시,381
충남,청양군,90
충남,태안군,128
충남,홍성군,142
충북,괴산군,100
충북,단양군,47
충북,보은군,79
충북,영동군,88
충북,옥천군,77
충북,음성군,179
충북,제천시,112
충북,증평군,29
충북,진천군,103
충북,청원군,103
충북,청주시,471
충북,충주시,235
