시군구,횟수
가평군,102
강남구,141
강동구,113
강릉시,154
강북구,82
강서구,273
강진군,78
강화군,75
거제시,138
거창군,88
경산시,228
경주시,409
계룡시,12
계양구,80
고령군,79
고성군,163
고양시,344
고창군,117
고흥군,121
곡성군,47
공주시,161
과천시,19
관악구,109
광명시,79
광산구,194
광양시,142
광주시,182
광진구,84
괴산군,100
구례군,47
구로구,109
구리시,53
구미시,283
군산시,246
군위군,79
군포시,69
금산군,87
금정구,75
금천구,78
기장군,79
김제시,168
김천시,173
김포시,186
김해시,293
나주시,199
남구,500
남동구,159
남양주시,283
남원시,147
남해군,59
노원구,94
논산시,213
단양군,47
달서구,182
달성군,172
담양군,104
당진시,263
대덕구,116
도봉구,72
동구,492
동대문구,130
동두천시,70
동래구,62
동작구,88
동해시,61
마포구,113
목포시,141
무안군,122
무주군,55
문경시,103
밀양시,142
보령시,151
보성군,119
보은군,79
봉화군,47
부산진구,54
부안군,110
부여군,138
부천시,209
부평구,102
북구,559
사상구,120
사천시,110
사하구,96
산청군,56
삼척시,67
상주시,205
서구,607
서귀포시,235
서대문구,81
서산시,201
서천군,103
서초구,124
성남시,276
성동구,67
성북구,95
성주군,101
세종,128
속초시,50
송파구,133
수성구,174
수영구,47
수원시,334
순창군,77
순천시,232
시흥시,236
신안군,73
아산시,285
안동시,192
안산시,299
안성시,195
안양시,173
양구군,33
양산시,165
양양군,59
양주시,149
양천구,89
양평군,127
여수시,287
여주시,128
연기군,6
연수구,104
연제구,48
연천군,57
영광군,108
영덕군,82
영도구,47
영동군,88
영등포구,175
영암군,171
영양군,24
영월군,65
영주시,92
영천시,166
예산군,152
예천군,80
오산시,70
옥천군,77
옹진군,25
완도군,65
완주군,184
용산구,85
용인시,352
울릉군,7
울주군,207
울진군,72
원주시,232
유성구,136
은평구,92
음성군,179
의령군,63
의성군,107
의왕시,45
의정부시,140
이천시,195
익산시,277
인제군,60
임실군,53
장성군,78
장수군,37
장흥군,70
전주시,366
정선군,48
정읍시,161
제주시,352
제천시,112
종로구,72
중구,433
중랑구,71
증평군,29
진구,66
진도군,68
진안군,50
진주시,252
진천군,103
창녕군,129
창원시(통합),519
천안시,381
철원군,63
청도군,94
청송군,61
청양군,90
청원군,103
청주시,471
춘천시,189
충주시,235
칠곡군,163
태백시,43
태안군,128
통영시,104
파주시,224
평창군,85
평택시,397
포천시,200
포항시,312
하남시,80
하동군,82
함안군,135
함양군,73
함평군,70
합천군,90
해남군,155
해운대구,90
홍성군,142
홍천군,100
화성시,409
화순군,90
화천군,24
횡성군,95
