city,name,death,total,hurt,code,population
강원,강릉시,165.0,258.0,93.0,42150.0,216806.0
강원,고성군,56.0,200.0,144.0,42820.0,30398.0
강원,고성군,56.0,200.0,144.0,48820.0,56369.0
경남,고성군,124.0,184.0,60.0,42820.0,30398.0
경남,고성군,124.0,184.0,60.0,48820.0,56369.0
강원,동해시,63.0,92.0,29.0,42170.0,95143.0
강원,삼척시,72.0,129.0,57.0,42230.0,73023.0
강원,속초시,51.0,73.0,22.0,42210.0,83109.0
강원,양구군,33.0,54.0,21.0,42800.0,23594.0
강원,양양군,61.0,115.0,54.0,42830.0,27659.0
강원,영월군,69.0,146.0,77.0,42750.0,40150.0
강원,원주시,238.0,395.0,157.0,42130.0,324837.0
강원,인제군,67.0,112.0,45.0,42810.0,32517.0
강원,정선군,51.0,98.0,47.0,42770.0,39985.0
강원,철원군,65.0,92.0,27.0,42780.0,47473.0
강원,춘천시,192.0,282.0,90.0,42110.0,274455.0
강원,태백시,45.0,65.0,20.0,42190.0,48794.0
강원,평창군,96.0,243.0,147.0,42760.0,43666.0
강원,홍천군,110.0,193.0,83.0,42720.0,70638.0
강원,화천군,27.0,39.0,12.0,42790.0,25079.0
강원,횡성군,100.0,163.0,63.0,42730.0,44937.0
경기,가평군,107.0,185.0,78.0,41820.0,61017.0
경기,고양시,359.0,557.0,198.0,41280.0,990571.0
경기,과천시,21.0,26.0,5.0,41290.0,70578.0
경기,광명시,81.0,113.0,32.0,41210.0,353100.0
경기,광주시,192.0,330.0,138.0,41610.0,286699.0
경기,구리시,58.0,96.0,38.0,41310.0,189680.0
경기,군포시,70.0,94.0,24.0,41410.0,286344.0
경기,김포시,189.0,292.0,103.0,41570.0,312305.0
경기,남양주시,293.0,450.0,157.0,41360.0,618305.0
경기,동두천시,73.0,123.0,50.0,41250.0,97557.0
경기,부천시,213.0,263.0,50.0,41190.0,863720.0
경기,성남시,288.0,471.0,183.0,41130.0,979534.0
경기,수원시,339.0,465.0,126.0,41110.0,1148157.0
경기,시흥시,250.0,412.0,162.0,41390.0,396765.0
경기,안산시,306.0,546.0,240.0,41270.0,713666.0
경기,안성시,208.0,326.0,118.0,41550.0,182173.0
경기,안양시,174.0,281.0,107.0,41170.0,607877.0
경기,양주시,151.0,256.0,105.0,41630.0,199143.0
경기,양평군,135.0,199.0,64.0,41830.0,103620.0
경기,여주시,130.0,210.0,80.0,0.0,0.0
경기,연천군,59.0,86.0,27.0,41800.0,45610.0
경기,오산시,73.0,102.0,29.0,41370.0,205460.0
경기,용인시,359.0,717.0,358.0,41460.0,941477.0
경기,의왕시,47.0,90.0,43.0,41430.0,159772.0
경기,의정부시,145.0,220.0,75.0,41150.0,430976.0
경기,이천시,207.0,350.0,143.0,41500.0,205479.0
경기,파주시,226.0,346.0,120.0,41480.0,401718.0
경기,평택시,416.0,707.0,291.0,41220.0,442034.0
경기,포천시,209.0,325.0,116.0,41650.0,156603.0
경기,하남시,82.0,133.0,51.0,41450.0,145096.0
경기,화성시,435.0,720.0,285.0,41590.0,530251.0
경남,거제시,144.0,255.0,111.0,48310.0,242077.0
경남,거창군,89.0,117.0,28.0,48880.0,63177.0
경남,김해시,302.0,426.0,124.0,48250.0,522049.0
경남,남해군,59.0,94.0,35.0,48840.0,47244.0
경남,밀양시,151.0,228.0,77.0,48270.0,108342.0
경남,사천시,117.0,161.0,44.0,48240.0,116851.0
경남,산청군,59.0,81.0,22.0,48860.0,35935.0
경남,양산시,176.0,262.0,86.0,48330.0,279565.0
경남,의령군,68.0,99.0,31.0,48720.0,29417.0
경남,진주시,262.0,398.0,136.0,48170.0,337071.0
경남,창녕군,133.0,200.0,67.0,48740.0,63447.0
경남,창원시(통합),538.0,714.0,176.0,0.0,0.0
경남,통영시,106.0,159.0,53.0,48220.0,139719.0
경남,하동군,86.0,129.0,43.0,48850.0,50177.0
경남,함안군,145.0,227.0,82.0,48730.0,67667.0
경남,함양군,79.0,131.0,52.0,48870.0,40692.0
경남,합천군,96.0,156.0,60.0,48890.0,50290.0
경북,경산시,235.0,371.0,136.0,47290.0,248805.0
경북,경주시,428.0,656.0,228.0,47130.0,263283.0
경북,고령군,82.0,131.0,49.0,47830.0,35198.0
경북,구미시,297.0,451.0,154.0,47190.0,419428.0
경북,군위군,84.0,149.0,65.0,47720.0,24172.0
경북,김천시,178.0,260.0,82.0,47150.0,135259.0
경북,문경시,106.0,204.0,98.0,47280.0,75664.0
경북,봉화군,48.0,69.0,21.0,47920.0,33894.0
경북,상주시,217.0,362.0,145.0,47250.0,103346.0
경북,성주군,103.0,157.0,54.0,47840.0,45067.0
경북,안동시,203.0,323.0,120.0,47170.0,168461.0
경북,영덕군,86.0,172.0,86.0,47770.0,40142.0
경북,영양군,24.0,31.0,7.0,47760.0,18297.0
경북,영주시,93.0,165.0,72.0,47210.0,112625.0
경북,영천시,175.0,272.0,97.0,47230.0,100778.0
경북,예천군,84.0,144.0,60.0,47900.0,45573.0
경북,울릉군,8.0,12.0,4.0,47940.0,10524.0
경북,울진군,75.0,109.0,34.0,47930.0,51953.0
