시군구,사망자수,부상자수,사상자수
가평군,107,78,185
강남구,143,70,213
강동구,113,36,149
강릉시,165,93,258
강북구,82,61,143
강서구,283,169,452
강진군,84,42,126
강화군,80,29,109
거제시,144,111,255
거창군,89,28,117
경산시,235,136,371
경주시,428,228,656
계룡시,12,1,13
계양구,82,32,114
고령군,82,49,131
고성군,180,204,384
고양시,359,198,557
고창군,123,87,210
고흥군,125,47,172
곡성군,48,84,132
공주시,171,121,292
과천시,21,5,26
관악구,111,28,139
광명시,81,32,113
광산구,202,90,292
광양시,146,86,232
광주시,192,138,330
광진구,88,36,124
괴산군,104,70,174
구례군,47,36,83
구로구,112,80,192
구리시,58,38,96
구미시,297,154,451
군산시,251,132,383
군위군,84,65,149
군포시,70,24,94
금산군,91,49,140
금정구,75,41,116
금천구,81,57,138
기장군,82,49,131
김제시,177,73,250
김천시,178,82,260
김포시,189,103,292
김해시,302,124,426
나주시,207,132,339
남구,518,211,729
남동구,162,88,250
남양주시,293,157,450
남원시,155,83,238
남해군,59,35,94
노원구,95,42,137
논산시,222,151,373
단양군,51,66,117
달서구,187,73,260
달성군,178,102,280
담양군,107,52,159
당진시,272,161,433
대덕구,122,81,203
도봉구,72,15,87
동구,498,236,734
동대문구,131,28,159
동두천시,73,50,123
동래구,63,45,108
동작구,92,25,117
동해시,63,29,92
마포구,115,46,161
목포시,143,42,185
무안군,132,99,231
무주군,57,77,134
문경시,106,98,204
밀양시,151,77,228
보령시,160,130,290
보성군,124,65,189
보은군,83,49,132
봉화군,48,21,69
부산진구,54,17,71
부안군,114,55,169
부여군,142,53,195
부천시,213,50,263
부평구,105,87,192
북구,577,386,963
사상구,122,44,166
사천시,117,44,161
사하구,97,37,134
산청군,59,22,81
삼척시,72,57,129
상주시,217,145,362
서구,623,308,931
서귀포시,250,130,380
서대문구,83,41,124
서산시,207,133,340
서천군,107,74,181
서초구,131,117,248
성남시,288,183,471
성동구,68,12,80
성북구,97,17,114
성주군,103,54,157
세종,133,50,183
속초시,51,22,73
송파구,138,91,229
수성구,179,81,260
수영구,48,24,72
수원시,339,126,465
순창군,82,42,124
순천시,238,78,316
시흥시,250,162,412
신안군,74,50,124
아산시,298,121,419
안동시,203,120,323
안산시,306,240,546
안성시,208,118,326
안양시,174,107,281
양구군,33,21,54
양산시,176,86,262
양양군,61,54,115
양주시,151,105,256
양천구,89,50,139
양평군,135,64,199
여수시,303,201,504
여주시,130,80,210
연기군,7,2,9
연수구,106,45,151
연제구,48,14,62
연천군,59,27,86
영광군,109,63,172
영덕군,86,86,172
영도구,47,18,65
영동군,92,31,123
영등포구,179,74,253
영암군,188,113,301
영양군,24,7,31
영월군,69,77,146
영주시,93,72,165
영천시,175,97,272
예산군,160,110,270
예천군,84,60,144
오산시,73,29,102
옥천군,77,55,132
옹진군,25,9,34
완도군,67,29,96
완주군,194,127,321
용산구,87,32,119
용인시,359,358,717
울릉군,8,4,12
울주군,221,100,321
울진군,75,34,109
원주시,238,157,395
유성구,141,65,206
은평구,94,33,127
음성군,192,157,349
의령군,68,31,99
의성군,110,40,150
의왕시,47,43,90
의정부시,145,75,220
이천시,207,143,350
익산시,281,121,402
인제군,67,45,112
임실군,60,43,103
장성군,83,67,150
장수군,41,15,56
장흥군,72,58,130
전주시,376,196,572
정선군,51,47,98
정읍시,166,87,253
제주시,363,207,570
제천시,117,55,172
종로구,72,15,87
중구,450,175,625
중랑구,71,22,93
증평군,29,13,42
진구,66,17,83
진도군,70,23,93
진안군,52,20,72
진주시,262,136,398
진천군,107,37,144
창녕군,133,67,200
창원시(통합),538,176,714
천안시,396,286,682
철원군,65,27,92
청도군,99,36,135
청송군,63,33,96
청양군,93,42,135
청원군,104,67,171
청주시,482,289,771
춘천시,192,90,282
충주시,255,220,475
칠곡군,169,84,253
태백시,45,20,65
태안군,134,71,205
통영시,106,53,159
파주시,226,120,346
평창군,96,147,243
평택시,416,291,707
포천시,209,116,325
포항시,328,150,478
하남시,82,51,133
하동군,86,43,129
함안군,145,82,227
함양군,79,52,131
함평군,72,38,110
합천군,96,60,156
해남군,162,80,242
해운대구,97,86,183
홍성군,153,73,226
홍천군,110,83,193
화성시,435,285,720
화순군,101,58,159
화천군,27,12,39
횡성군,100,63,163
